Pre,Actual
0.9292,1.0
0.9209,1.0
0.9902,1.0
0.9697,1.0
0.9847,1.0
0.9825,1.0
0.9771,1.0
0.9487,1.0
0.9731,1.0
0.978,1.0
0.9721,1.0
0.9586,1.0
0.9668,1.0
0.9884,1.0
0.983,1.0
0.9855,1.0
0.989,1.0
0.9887,1.0
0.9757,1.0
0.9744,1.0
0.9872,1.0
0.9891,1.0
1.0,1.0
1.0012,1.0
0.9994,1.0
1.0013,1.0
0.9993,1.0
1.0008,1.0
0.9978,1.0
1.003,1.0
0.999,1.0
0.9965,1.0
1.0036,1.0
0.9972,1.0
1.0031,1.0
0.9964,1.0
1.0015,1.0
0.9939,1.0
1.0036,1.0
0.991,1.0
0.9875,1.0
1.0052,1.0
1.0008,1.0
1.001,1.0
1.0012,1.0
0.9982,1.0
0.9979,1.0
0.994,1.0
0.9915,1.0
0.9649,1.0
0.9315,1.0
0.93,1.0
0.9372,1.0
0.933,1.0
0.9275,1.0
0.9289,1.0
0.932,1.0
0.9509,1.0
0.9298,1.0
0.9317,1.0
0.9216,1.0
0.9491,1.0
0.95,1.0
0.9542,1.0
0.945,1.0
0.9478,1.0
0.9514,1.0
0.9517,1.0
0.9513,1.0
0.9443,1.0
0.9523,1.0
0.9482,1.0
0.948,1.0
0.9516,1.0
0.9499,1.0
0.9505,1.0
0.9552,1.0
0.9534,1.0
0.9554,1.0
0.9564,1.0
0.9561,1.0
0.9542,1.0
0.9577,1.0
0.9593,1.0
0.9579,1.0
0.9585,1.0
0.9577,1.0
0.9574,1.0
0.9557,1.0
0.9582,1.0
0.9504,1.0
0.9568,1.0
0.9551,1.0
0.9505,1.0
0.9496,1.0
0.9508,1.0
0.9474,1.0
0.9507,1.0
0.9506,1.0
0.9466,1.0
0.9482,1.0
0.9488,1.0
0.9516,1.0
0.9471,1.0
0.9485,1.0
0.9536,1.0
0.9521,1.0
0.9492,1.0
0.9508,1.0
0.9503,1.0
0.9478,1.0
0.9492,1.0
0.9486,1.0
0.9482,1.0
0.9478,1.0
0.9466,1.0
0.9496,1.0
0.9419,1.0
0.9459,1.0
0.9423,1.0
0.9476,1.0
0.9456,1.0
0.9445,1.0
0.9474,1.0
0.9471,1.0
0.9461,1.0
0.9466,1.0
0.9442,1.0
0.949,1.0
0.9463,1.0
0.9446,1.0
0.9439,1.0
0.942,1.0
0.9484,1.0
0.9468,1.0
0.9411,1.0
0.9479,1.0
0.9481,1.0
0.9456,1.0
0.9452,1.0
0.9424,1.0
0.9489,1.0
0.9423,1.0
0.947,1.0
0.9441,1.0
0.948,1.0
0.9453,1.0
0.9462,1.0
0.9496,1.0
0.9461,1.0
0.9449,1.0
0.947,1.0
0.9521,1.0
0.9443,1.0
0.9486,1.0
0.9432,1.0
0.9424,1.0
0.9428,1.0
0.9467,1.0
0.9466,1.0
0.9469,1.0
0.9446,1.0
0.9435,1.0
0.9432,1.0
0.9471,1.0
0.9429,1.0
0.9456,1.0
0.9455,1.0
0.9459,1.0
0.9425,1.0
0.9451,1.0
0.9426,1.0
0.942,1.0
0.9431,1.0
0.9383,1.0
0.9417,1.0
0.9434,1.0
0.9414,1.0
0.9388,1.0
0.9446,1.0
0.946,1.0
0.9456,1.0
0.9448,1.0
0.9474,1.0
0.9414,1.0
0.9419,1.0
0.9444,1.0
0.9435,1.0
0.9435,1.0
0.9428,1.0
0.9439,1.0
0.9426,1.0
0.935,1.0
0.9407,1.0
0.9398,1.0
0.943,1.0
0.9431,1.0
0.9425,1.0
0.9443,1.0
0.9406,1.0
0.9418,1.0
0.944,1.0
0.9468,1.0
0.9404,1.0
0.9384,1.0
0.943,1.0
0.94,1.0
0.9471,1.0
0.9422,1.0
0.937,1.0
0.9404,1.0
0.9401,1.0
0.9426,1.0
0.936,1.0
0.9465,1.0
0.9448,1.0
0.9432,1.0
0.9392,1.0
0.9411,1.0
0.9368,1.0
0.9419,1.0
0.9374,1.0
0.9477,1.0
0.9372,1.0
0.9353,1.0
0.938,1.0
0.9421,1.0
0.94,1.0
0.9425,1.0
0.9434,1.0
0.9396,1.0
0.9383,1.0
0.9432,1.0
0.9399,1.0
0.9416,1.0
0.9402,1.0
0.9363,1.0
0.9428,1.0
0.9348,1.0
0.9441,1.0
0.934,1.0
0.9392,1.0
0.9396,1.0
0.9402,1.0
0.9378,1.0
0.939,1.0
0.9393,1.0
0.9408,1.0
0.9415,1.0
0.9386,1.0
0.9417,1.0
0.9429,1.0
0.9458,1.0
0.9393,1.0
0.9441,1.0
0.9322,1.0
0.9337,1.0
0.9379,1.0
0.9383,1.0
0.9422,1.0
0.9405,1.0
0.9392,1.0
0.9396,1.0
0.9372,1.0
0.937,1.0
0.9416,1.0
0.938,1.0
0.936,1.0
0.9432,1.0
0.9383,1.0
0.9381,1.0
0.9392,1.0
0.9371,1.0
0.9394,1.0
0.9416,1.0
0.936,1.0
0.941,1.0
0.9389,1.0
0.9378,1.0
0.9352,1.0
0.9378,1.0
0.9422,1.0
0.9367,1.0
0.9388,1.0
0.9374,1.0
0.939,1.0
0.9388,1.0
0.9401,1.0
0.9395,1.0
0.9391,1.0
0.9369,1.0
0.9377,1.0
0.9381,1.0
0.936,1.0
0.9318,1.0
0.9395,1.0
0.934,1.0
0.9324,1.0
0.9382,1.0
0.9413,1.0
0.9366,1.0
0.9368,1.0
0.9372,1.0
0.938,1.0
0.9347,1.0
0.9332,1.0
0.932,1.0
0.9357,1.0
0.938,1.0
0.9411,1.0
0.9322,1.0
0.938,1.0
0.9354,1.0
0.9348,1.0
0.9326,1.0
0.9323,1.0
0.936,1.0
0.9369,1.0
0.9309,1.0
0.9385,1.0
0.9377,1.0
0.9422,1.0
0.9371,1.0
0.9388,1.0
0.9397,1.0
0.9302,1.0
0.9344,1.0
0.9335,1.0
0.9359,1.0
0.9326,1.0
0.9346,1.0
0.9368,1.0
0.933,1.0
0.9348,1.0
0.938,1.0
0.9331,1.0
0.9365,1.0
0.934,1.0
0.932,1.0
0.9336,1.0
0.9304,1.0
0.9413,1.0
0.9341,1.0
0.9374,1.0
0.9322,1.0
0.9327,1.0
0.9371,1.0
0.938,1.0
0.9311,1.0
0.9352,1.0
0.9362,1.0
0.9347,1.0
0.9378,1.0
0.9324,1.0
0.9367,1.0
0.9285,1.0
0.9281,1.0
0.9359,1.0
0.9231,1.0
0.9274,1.0
0.9285,1.0
0.9272,1.0
0.9283,1.0
0.9231,1.0
0.9319,1.0
0.9276,1.0
0.9268,1.0
0.9336,1.0
0.9291,1.0
0.9238,1.0
0.9229,1.0
0.9302,1.0
0.9239,1.0
0.9335,1.0
0.9278,1.0
0.9271,1.0
0.9233,1.0
0.9275,1.0
0.9203,1.0
0.9215,1.0
0.9232,1.0
0.9271,1.0
